STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
Uttar Pradesh,SAHARANPUR,2013,95,91,13,34,0,34,153,137,16,9,2,114,77,557,296,261,105,43,291,5,0,108,34,90,0,198,0,160,1362,3541
Uttar Pradesh,SAMBHAL,2013,78,75,16,42,0,42,131,112,19,6,0,56,65,316,155,161,68,40,102,1,0,65,30,94,0,88,0,84,927,2284
Uttar Pradesh,SANT KABIRNAGAR,2013,26,12,3,23,0,23,64,60,4,0,0,16,12,42,25,17,36,19,42,0,2,134,5,17,0,8,0,56,227,744
Uttar Pradesh,SHAHJAHANPUR,2013,89,96,20,36,0,36,136,116,20,2,0,24,47,230,98,132,24,55,140,2,5,220,43,104,0,142,0,228,1260,2903
Uttar Pradesh,SHAMLI,2013,63,75,8,34,0,34,91,87,4,7,1,43,23,266,172,94,108,14,47,0,0,7,11,66,0,52,0,53,441,1410
Uttar Pradesh,SHRAWASTI,2013,21,17,6,21,0,21,55,50,5,2,0,8,41,52,12,40,18,17,68,1,1,162,18,53,0,0,0,60,214,835
Uttar Pradesh,SIDHARTHNAGAR,2013,19,4,3,17,0,17,60,59,1,5,0,9,27,87,54,33,24,9,26,0,0,5,8,26,0,33,0,54,342,758
Uttar Pradesh,SITAPUR,2013,82,55,18,95,0,95,267,256,11,3,1,44,131,375,155,220,50,46,110,0,19,143,63,211,0,130,0,228,1863,3934
Uttar Pradesh,SONBHADRA,2013,29,10,14,32,0,32,20,17,3,0,0,1,33,82,36,46,1,22,25,1,0,116,13,22,0,12,0,138,208,779
Uttar Pradesh,ST.RAVIDASNAGAR,2013,12,16,9,10,0,10,18,18,0,0,0,7,23,67,32,35,4,13,30,0,0,76,13,15,0,19,0,57,123,512
Uttar Pradesh,SULTANPUR,2013,39,66,11,29,0,29,115,107,8,7,2,34,100,294,144,150,84,31,81,0,3,236,15,87,0,111,0,160,779,2284
Uttar Pradesh,UNNAO,2013,90,46,14,41,0,41,189,173,16,2,0,36,68,271,110,161,31,65,100,0,1,28,44,119,0,190,0,293,1197,2825
Uttar Pradesh,VARANASI,2013,59,66,16,57,0,57,228,208,20,4,2,85,179,930,601,329,109,228,536,21,1,213,36,207,3,347,0,208,1542,5077
Uttar Pradesh,ZZ TOTAL,2013,5047,5259,1268,3050,0,3050,11183,9737,1446,596,70,3591,6683,41949,24948,17001,6089,4114,11665,158,291,12398,2335,7303,25,8781,0,14345,80245,226445
Uttarakhand,ALMORA,2013,1,3,0,8,0,8,32,18,14,0,0,1,9,15,2,13,2,3,9,2,0,6,2,7,3,9,0,7,53,172
Uttarakhand,BAGESHWAR,2013,1,0,2,2,0,2,16,4,12,0,0,1,12,6,0,6,1,0,4,0,2,10,1,3,1,2,0,5,15,84
Uttarakhand,CHAMOLI,2013,4,2,2,8,0,8,35,35,0,0,0,2,6,6,0,6,3,2,3,1,0,12,0,7,0,2,0,3,21,119
Uttarakhand,CHAMPAWAT,2013,5,1,1,0,0,0,15,15,0,0,0,1,5,3,1,2,7,0,1,0,1,33,1,5,0,1,0,11,6,97
Uttarakhand,DEHRADUN,2013,35,29,12,41,0,41,279,148,131,4,1,27,59,394,190,204,89,44,224,11,6,51,9,62,27,159,0,133,583,2279
Uttarakhand,HARIDWAR,2013,39,62,12,75,0,75,312,192,120,3,2,52,49,534,210,324,89,50,127,7,7,519,5,76,17,101,0,117,541,2796
